编号 病种分类 病证名 中医症状 中医证型 状态要素 中药 经方
162 P脾胃系病证 心下疾(胃脘疾) 胃胀,小便不利,发热,无汗 脾胃水气证 饮,阳郁,脾,胃,膀胱 芍药,炙甘草,生姜,白术,茯苓,大枣 桂枝去桂加茯苓白术汤
163 P脾胃系病证 心下疾(胃脘疾) 胃胀,恶心,呕吐,泄泻,肠鸣 中焦寒热错杂证 半表半里,胸膈,饮,热,脾,胃,气虚,湿 半夏,黄芩,人参,干姜,甘草,黄连,大枣 半夏泻心汤
164 P脾胃系病证 厌食 饥不欲食,头汗出,心烦,手足热 阳明热郁证 热,胸膈,心神,食积,胃 栀子,香豉 栀子豉汤
165 P脾胃系病证 厌食 饥不欲食,手足冷,心烦,腹胀 痰阻胸膈证 痰,饮,食积,胸膈,胃 瓜蒂,赤小豆 瓜蒂散
166 P脾胃系病证 厌食 厌食,手足冷,不欲食,心烦 肝热厥逆证 热,阳郁,气滞,胃,食积,心神 柴胡,枳实,芍药,炙甘草 四逆散
167 P脾胃系病证 厌食 厌食,胁下满,身黄,小便不利 脾胃虚寒证 脾,胃,食积,阳虚,湿,外风,寒,表 人参,干姜,炙甘草,白术 理中丸
168 P脾胃系病证 厌食 厌食,口苦,咽干,目眩 少阳胆热证 半表半里,胆,食积,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
169 P脾胃系病证 厌食 厌食,手足汗出,小便不利,大便先干后稀 虚寒痼瘕证 胃,食积,阳虚 人参,干姜,炙甘草,白术 理中丸
170 P脾胃系病证 厌食 厌食,汗出,饥不欲食,脉细数 脾胃阴虚证 脾,胃,食积,阴虚 竹叶,石膏,半夏,麦门冬,人参,炙甘草,粳米 竹叶石膏汤
171 P脾胃系病证 易食 消谷易食,呕吐,舌红,苔黄,脉数 胃实热证 胃,阳虚 知母,石膏,甘草,粳米 白虎汤
172 P脾胃系病证 易食 消谷易食,发热,不大便,舌暗 瘀血善饥证 血瘀,热,胃,肠 水蛭,虻虫,桃仁,大黄 抵当汤
173 G肝胆系病证 身黄 手足抽搐,小便不利 火毒发黄证 热,毒,经络,膀胱 半夏,黄芩,人参,干姜,甘草,黄连,大枣 半夏泻心汤
174 G肝胆系病证 身黄 身黄,身体枯燥不荣 气血两燔证 热,毒,阴虚,津亏 知母,石膏,甘草,粳米 白虎汤
175 G肝胆系病证 身黄 身黄,头汗出,小便不利 湿热黄疸证 外风,寒,湿,热,半表半里,胸膈,肝,胆,湿 茵陈蒿,栀子,大黄 茵陈蒿汤
176 G肝胆系病证 身黄 身黄,不欲食,胁下满痛 脾胃虚寒证 脾,胃,阳虚,湿,寒 人参,干姜,炙甘草,白术 理中丸
177 G肝胆系病证 身黄 身黄,发热,怕冷,身黄 湿热郁瘀发黄证 湿,热,外风,寒,半表半里 麻黄,连翘,杏仁,赤小豆,大枣,生梓白皮,生姜,炙甘草 麻黄连翘赤小豆汤
178 G肝胆系病证 胁疾 口苦,咽干,目眩 胆热气郁证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
179 G肝胆系病证 胁疾 胁痛,泄泻,脉浮 脾胃寒湿证 脾,肠,阳虚,气虚,外风,寒,半表半里 桂枝,炙甘草,白术,人参,干姜 桂枝人参汤
180 G肝胆系病证 胁疾 胁痛,汗出,头痛,干呕,气短,泄泻 悬饮证 外风,寒,半表半里,饮,胸膈 芫花,甘遂,大戟,大枣 十枣汤
181 G肝胆系病证 胁疾 胁下满,身热,怕风,颈项僵硬,口渴 太阳少阳阳明兼证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
182 G肝胆系病证 胁疾 胁下满,不大便,干呕,舌苔白 阳明少阳兼证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
183 G肝胆系病证 胁疾 胁下满,口苦,咽干,目眩 少阳胆热气郁证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
184 G肝胆系病证 胁疾 胁下满,发热,汗出,呕吐,泄泻 阳明少阳兼证 热,胃,肠,半表半里 柴胡,黄芩,芍药,半夏,生姜,枳实,大枣,大黄 大柴胡汤
185 G肝胆系病证 胁疾 胸胁满,头汗出,小便不利,口渴,心烦 胆热水气证 半表半里,胆,阳郁,气滞,饮,里 柴胡,桂枝,干姜,瓜蒌根,黄芩,牡蛎,炙甘草 柴胡桂枝干姜汤
186 G肝胆系病证 胁疾 胸胁满,心烦,干呕,口苦 少阳胆热气郁证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
187 G肝胆系病证 胁疾 胸胁满,手足冷,呕吐,心烦,不欲食 厥阴肝热便脓血证 热,阳郁,半表半里 柴胡,枳实,芍药,炙甘草 四逆散
188 S肾系病证 淋证 小便不利,腹胀,口苦,咽干,目眩 胆热气郁证 半表半里,膀胱,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
189 S肾系病证 淋证 小便不利,潮热,谵语,大便干 阳明热结重证 热,燥屎,胃,肠,膀胱 大黄,厚朴,枳实,芒硝 大承气汤
190 S肾系病证 淋证 小便不利,身黄,目黄,小便黄 湿热黄疸证 外风,寒,饮,热,表,胸膈,肝,胆,膀胱,湿 茵陈蒿,栀子,大黄 茵陈蒿汤
191 S肾系病证 淋证 小便不利,腹胀,发热,无汗 脾胃水气证 饮,阳郁,胃,膀胱 芍药,炙甘草,生姜,白术,茯苓,大枣 桂枝去桂加茯苓白术汤
192 S肾系病证 淋证 小便不利,泄泻,腹痛,大便脓血 阳虚滑脱证 脾,肾,膀胱,阳虚,气虚,动血 赤石脂,干姜,粳米 桃花汤
193 S肾系病证 淋证 小便不利,身热,汗出,口渴,心烦,脉浮 膀胱水气证 饮,热,燥,津亏,膀胱,胃 猪苓,泽泻,白术,茯苓,桂枝 五苓散
194 S肾系病证 淋证 小便不利,头汗出,胸胁满,口渴,心烦 胆热水气证 半表半里,胆,膀胱,阳郁,饮 柴胡,桂枝,干姜,瓜蒌根,黄芩,牡蛎,炙甘草 柴胡桂枝干姜汤
195 S肾系病证 淋证 小便不利,发热,口渴,脉浮 水热津伤证 热,阴虚,饮,膀胱 猪苓,茯苓,泽泻,阿胶,滑石 猪苓汤
196 S肾系病证 淋证 小便不利,口渴,心烦 脾胃水气痞证 饮,脾,胃,膀胱 猪苓,泽泻,白术,茯苓,桂枝 五苓散
197 S肾系病证 淋证 小便不利,骨节疼痛,心烦,不呕,不渴 阳虚肌痹证 外风,寒,湿,阳虚,肌肤,膀胱 桂枝,炮附子,生姜,大枣,炙甘草 桂枝附子汤
198 S肾系病证 淋证 小便不利,骨节疼痛,心烦,汗出,气短 阳虚骨痹证 外风,寒,湿,阳虚,关节,膀胱 炙甘草,炮附子,白术,桂枝 甘草附子汤
199 S肾系病证 淋证 小便不利,手足汗出,不欲食,大便先干后稀 虚寒痼瘕证 胃,肠,膀胱,阳虚 人参,干姜,炙甘草,白术 理中丸
200 S肾系病证 淋证 小便不利,身重,身痛,腹痛 阳虚水泛证 肾,膀胱,阳虚,饮,寒 茯苓,芍药,生姜,白术,炮附子 真武汤
201 S肾系病证 淋证 小便多,汗出,干呕,心烦,怕冷,腿脚抽搐挛急 阴阳两虚证 膀胱,肾,心神,表,外风,寒,热,燥,津亏,阳虚,阴虚 炙甘草,干姜 甘草干姜汤
202 S肾系病证 淋证 小便多,不大便 太阴脾约证 热,胃,脾,膀胱,阴虚,津亏,肠,燥屎 麻仁,芍药,枳实,大黄,厚朴,杏仁 麻子仁丸
203 S肾系病证 淋证 小便多,大便干,心烦 阳明热结轻证 津亏,燥,热,心神,膀胱 大黄,厚朴,枳实 小承气汤
204 S肾系病证 淋证 小便难,胁下满,身黄 脾胃虚寒证 脾,胃,阳虚,湿,外风,寒,膀胱 桂枝,炙甘草,白术,人参,干姜 桂枝人参汤
205 S肾系病证 淋证 小便难,心烦,头晕,目眩,腹胀,脉迟 虚寒谷疸证 寒,脾,胃,膀胱 人参,干姜,炙甘草,白术 理中丸
206 S肾系病证 淋证 小便难,咳嗽,泄泻,谵语,肌肤浮肿 水气热证 膀胱,肾,肠,肺,肌肤,阳虚,饮,寒,心神,津亏 猪苓,茯苓,泽泻,阿胶,滑石 猪苓汤
207 S肾系病证 淋证 小便难,汗出,怕风,四肢屈伸不利 阳气虚弱证 膀胱,外风,表,经络,阳虚 桂枝,芍药,炙甘草,生姜,大枣,炮附子 桂枝加附子汤
208 Z内科杂病 痹证 骨节疼痛,小便不利,心烦,汗出,气短 阳虚骨痹证 外风,阳虚,寒,湿,关节,经络 炙甘草,炮附子,白术,桂枝 甘草附子汤
209 Z内科杂病 痹证 骨节疼痛,发热,怕冷,身痛 太阳伤寒证 外风,寒,表,关节 麻黄,桂枝,炙甘草,杏仁 麻黄汤
210 Z内科杂病 痹证 骨节疼痛,发热,汗出,小便不利,脉紧 水湿郁表证 饮,湿,表,关节 人参,干姜,炙甘草,白术 理中丸
211 Z内科杂病 痹证 骨节疼痛,身痛,手足冷,脉沉 寒湿体痛证 心,肾,阳虚,寒,湿,关节 炮附子,茯苓,人参,白术,芍药 附子汤
212 Z内科杂病 痹证 项背强硬,汗出,恶风 太阳柔痉证 外风,寒,表,经络 葛根,桂枝,芍药,生姜,炙甘草,大枣,麻黄 桂枝加葛根汤
213 Z内科杂病 痹证 项背强硬,无汗,恶风 太阳刚痉证 外风,寒,表,经络 葛根,麻黄,桂枝,生姜,炙甘草,芍药,大枣 葛根汤
214 Z内科杂病 痹证 项背强硬,汗出,胸痛 痰热结胸证 痰,热,胸膈 大黄,葶苈子,芒硝,杏仁 大陷胸丸
215 Z内科杂病 耳疾 耳聋,气喘,心悸 心阳虚证 寒,饮,肺,心,肾,阳虚 桂枝,炙甘草,牡蛎,龙骨 桂枝甘草龙骨牡蛎汤
216 Z内科杂病 耳疾 耳聋,胸满,心烦,目红 少阳胆热气郁证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
217 Z内科杂病 寒证 怕冷,身体蜷卧,泄泻,手足冷 阴盛无阳证 心,肾,亡阳 炙甘草,干姜,附子 四逆汤
218 Z内科杂病 寒证 怕冷,泄泻,脉微 阳虚液竭证 阳虚,津亏 炙甘草,干姜,附子,人参 四逆加人参汤
219 Z内科杂病 寒证 怕冷,汗出,发热,四肢屈伸不利,手足冷,呕吐,泄泻 阳虚阴盛证 阳虚,胃,肠 炙甘草,干姜,附子 四逆汤
220 Z内科杂病 寒证 身体蜷卧,心烦 少阴寒证 心,肾,亡阳 炙甘草,干姜,附子 四逆汤
221 Z内科杂病 寒证 身体蜷卧,泄泻,怕冷,手足热 少阴阳虚重证 心,肾,亡阳 炙甘草,干姜,附子 四逆汤
222 Z内科杂病 寒证 身体蜷卧,怕冷,脉弱,心烦 少阴阳绝神亡证 心,肾,亡阳 炙甘草,干姜,附子 通脉四逆汤
223 Z内科杂病 寒证 身体蜷卧,泄泻,怕冷,手足冷 少阴阴盛无阳证 心,肾,亡阳 炙甘草,干姜,附子 通脉四逆汤
224 Z内科杂病 寒证 手足冷,头痛,干呕 阳明寒证 胃,阳虚,饮 人参,干姜,炙甘草,白术 理中丸
225 Z内科杂病 寒证 手足冷,身痛,骨节疼痛,脉沉 肾虚寒湿体痛证 心,肾,阳虚,寒,湿 炮附子,茯苓,人参,白术,芍药 附子汤
226 Z内科杂病 寒证 手足冷,心烦,泄泻,脉微 阴盛阳绝证 亡阳,气脱 炙甘草,干姜,附子 四逆汤
227 Z内科杂病 寒证 手足冷,心烦,饥不欲食 痰阻胸膈证 痰,食积,胸膈,脾,肾,阳虚,饮 瓜蒂,赤小豆 瓜蒂散
228 Z内科杂病 寒证 手足冷,脉绝 阳气暴脱证 亡阳 炙甘草,干姜,附子 四逆汤
229 Z内科杂病 寒证 手足冷,汗出,发热,四肢屈伸不利,呕吐,泄泻 阳虚霍乱证 阳虚 炙甘草,干姜,附子 四逆汤
230 Z内科杂病 寒证 手足冷,面红,脉微 阳虚格阳证 肾,阳虚,阳浮 炙甘草,干姜,附子 通脉四逆汤
231 Z内科杂病 寒证 手足冷,呕吐,泄泻,心烦,怕冷,手足蜷卧 阴盛无阳证 心,肾,亡阳 炙甘草,干姜,附子 通脉四逆汤
232 Z内科杂病 寒证 手足冷,脉细欲绝 肝寒血虚证 肝,血虚,寒 当归,桂枝,芍药,细辛,炙甘草,通草,大枣 当归四逆汤
233 Z内科杂病 寒证 手足冷,身重,汗出,谵语,语言不利 阳明热盛证 胃,热,寒 知母,石膏,甘草,粳米 白虎汤
234 Z内科杂病 寒证 手足冷,腹痛,咳嗽,心悸,小便不利,泄泻 肝气郁滞证 寒,阳郁,肝,气滞 柴胡,枳实,芍药,炙甘草 四逆散
235 Z内科杂病 汗证 盗汗,发热,怕冷,口渴 太阳温病证 外风,热,表,胸膈,肝,胆,湿 桂枝,芍药,麻黄,炙甘草,大枣,生姜,石膏 桂枝二越婢一汤
236 Z内科杂病 汗证 盗汗,头汗出,饥不欲食 阳明热郁证 热,气滞,食积 栀子,香豉 栀子豉汤
237 Z内科杂病 汗证 盗汗,发热 阳明热极证 热,燥屎,胃,肠,亡阴 大黄,厚朴,枳实,芒硝 大承气汤
238 Z内科杂病 汗证 多汗,脉迟,怕风,怕冷 太阳中风证兼阳明病证 外风,寒,表,胃,热 桂枝,芍药,炙甘草,生姜,大枣 桂枝汤
239 Z内科杂病 汗证 多汗,口干,咽干 阳明热盛津伤证 胃,热,燥,津亏 知母,石膏,炙甘草,粳米,人参 白虎加人参汤
240 Z内科杂病 汗证 发热,怕冷 太阳中风证 外风,寒,表 桂枝,芍药,炙甘草,生姜,大枣 桂枝汤
241 Z内科杂病 汗证 汗出,项强 太阳柔痉证 外风,寒,表,经络 葛根,桂枝,芍药,生姜,炙甘草,大枣,麻黄 桂枝加葛根汤
242 Z内科杂病 汗证 汗出,身重,昏昏沉沉 阳明热盛证 胃,热,湿 知母,石膏,甘草,粳米 白虎汤
243 Z内科杂病 汗证 汗出,谵语,潮热 阳明热结重证 胃,热,燥屎,肠 大黄,厚朴,枳实,芒硝 大承气汤
244 Z内科杂病 汗证 汗出,口干,发热,腹胀,身重 阳明热郁证 胃,胸膈,热,心神 栀子,香豉 栀子豉汤
245 Z内科杂病 汗证 汗出,骨节疼痛,心烦,怕风,气短 阳虚骨痹证 阳虚,寒,湿,关节 炙甘草,炮附子,白术,桂枝 甘草附子汤
246 Z内科杂病 汗证 汗出,呕吐,泄泻,脉紧 少阴阳虚寒证 胃,肠,寒,阳浮 炙甘草,干姜,附子 四逆汤
247 Z内科杂病 汗证 汗出,手足冷,四肢屈伸不利,呕吐,泄泻 阳虚阴盛证 阳虚,胃,肠 炙甘草,干姜,附子 四逆汤
248 Z内科杂病 汗证 手足汗出,大便干,谵语,潮热 阳明热结重证 胃,热,燥屎,肠 大黄,厚朴,枳实,芒硝 大承气汤
249 Z内科杂病 汗证 手足汗出,不欲食,小便不利,大便先干后稀 阳明虚寒痼痕证 胃,肠,阳虚,食积 人参,干姜,炙甘草,白术 理中丸
250 Z内科杂病 汗证 头汗出,谵语,身体枯燥不荣,手足躁扰不宁 气血两燔证 热,毒,阴虚,津亏,心神,肌肤 知母,石膏,甘草,粳米 白虎汤
251 Z内科杂病 汗证 头汗出,腹痛拒按 实热结胸证 饮,热,燥屎,胃,肠,胸膈 大黄,芒硝,甘遂 大陷胸汤
252 Z内科杂病 汗证 头汗出,心烦,小便不利,口渴,不呕 少阳胆热证 半表半里,胆,阳郁,热 柴胡,桂枝,干姜,瓜蒌根,黄芩,牡蛎,炙甘草 柴胡桂枝干姜汤
253 Z内科杂病 汗证 头汗出,饥不欲食,心烦,手足热 阳明热郁证 热,胸膈,食积,心神 栀子,香豉 栀子豉汤
254 Z内科杂病 汗证 头汗出,身黄,目黄,小便黄 湿热发黄证 热,表,胸膈,肝,胆,湿 茵陈蒿,栀子,大黄 茵陈蒿汤
255 Z内科杂病 汗证 头汗出,手足冷,腹胀,不欲食,大便硬 太阳病证兼少阳病证 半表半里,少腹,胃,燥屎,食积 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
256 Z内科杂病 口疾 口干口燥,脉浮,发热 阳明气血热证 胃,热,燥,津亏 知母,石膏,甘草,粳米 白虎汤
257 Z内科杂病 口疾 口干口燥,谵语,不大便 气血两燔证 热,毒,阴虚,津亏,燥屎 知母,石膏,甘草,粳米 白虎汤
258 Z内科杂病 口疾 口干口燥,口渴饮水不欲咽 阳明血热证 胃,肠,血热,津亏 知母,石膏,甘草,粳米 白虎汤
259 Z内科杂病 口疾 口干口燥,口渴,心烦 阳明热盛津气两伤证 胃,心神,热,气虚,津亏 知母,石膏,炙甘草,粳米,人参 白虎加人参汤
260 Z内科杂病 口疾 口渴,口渴饮水不多 厥阴肝热证 热,肝,津亏 知母,石膏,甘草,粳米 白虎汤
261 Z内科杂病 口疾 口渴,身黄,目黄,小便黄 湿热发黄证 胃,热,肝,胆,湿 茵陈蒿,栀子,大黄 茵陈蒿汤
262 Z内科杂病 口疾 口渴,口渴饮水量多 阳明热盛津伤证 胃,热,气虚,津亏 知母,石膏,炙甘草,粳米,人参 白虎加人参汤
263 Z内科杂病 口疾 口渴,口渴饮水不多,小便不利,发热,脉浮 热虚水气证 热,阴虚,饮,膀胱 猪苓,茯苓,泽泻,阿胶,滑石 猪苓汤
264 Z内科杂病 口疾 口渴,发热,咳嗽,干呕 寒饮郁肺证 表,寒,热,饮,肺,胃 麻黄,芍药,细辛,干姜,炙甘草,桂枝,五味子,半夏 小青龙汤
265 Z内科杂病 口疾 口渴,心烦,小便不利 脾胃水气证 饮,膀胱,脾,胃,心神 猪苓,泽泻,白术,茯苓,桂枝 五苓散
266 Z内科杂病 口疾 口渴,头汗出,小便不利,心烦,不呕 胆热夹饮证 半表半里,膀胱,心神,热,阳郁,饮 柴胡,桂枝,干姜,瓜蒌根,黄芩,牡蛎,炙甘草 柴胡桂枝干姜汤
267 Z内科杂病 口疾 口苦,咽干,目眩 少阳胆热证 半表半里,胆,咽,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
268 Z内科杂病 口疾 口苦,口干,发热,汗出,身重 阳明热郁证 胃,胸膈,热,湿,心神 栀子,香豉 栀子豉汤
269 Z内科杂病 口疾 舌燥,腹胀,腹痛,口渴,不大便,潮热 实热结胸证 饮,胸膈,热,燥屎,胃,肠 大黄,芒硝,甘遂 大陷胸汤
270 Z内科杂病 口疾 舌燥,发热,口渴,怕风,心烦 阳明热盛津气两伤证 胃,热,气虚,津亏 知母,石膏,炙甘草,粳米,人参 白虎加人参汤
271 Z内科杂病 面疾 面部红赤,气短 太阳病证兼阳明病证 外风,寒,热,表 桂枝,芍药,生姜,炙甘草,麻黄,大枣,杏仁 桂枝麻黄各半汤
272 Z内科杂病 面疾 面部红赤,发热,怕冷 太阳伤寒轻证 外风,寒,热,表 桂枝,芍药,生姜,炙甘草,麻黄,大枣,杏仁 桂枝麻黄各半汤
273 Z内科杂病 面疾 面部红赤,发热,面黄,小便不利 阳明热盛证 脾,胃,膀胱,湿,热,气虚 知母,石膏,甘草,粳米 白虎汤
274 Z内科杂病 面疾 面部红赤,泄泻,腹痛,手足冷,脉微 少阴阳虚格阳证 肠,少腹,阳虚,阳浮 炙甘草,干姜,附子 通脉四逆汤
275 Z内科杂病 面疾 面部红赤,泄泻 少阴阳虚戴阳证 肠,阳虚,阳浮 葱白,干姜,附子 白通汤
276 Z内科杂病 目疾 目眩,口苦,咽干,心烦 少阳胆热气郁证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
277 Z内科杂病 目疾 目眩,心烦,发热,无汗 太阳伤寒证 外风,热,心神,表 麻黄,桂枝,炙甘草,杏仁 麻黄汤
278 Z内科杂病 目疾 目眩,耳聋,口苦 少阳胆热气郁证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
279 Z内科杂病 目疾 目眩,身重,四肢屈伸不利 肾中浊邪阴阳易证 毒,湿,肾 妇人中裈近隐处剪烧作灰 烧裈散
280 Z内科杂病 目疾 目眩,大便难,发热 阳明热结重证兼少阴热证 热,燥屎,胃,肠,亡阴 大黄,厚朴,枳实,芒硝 大承气汤
281 Z内科杂病 热证 潮热,腹胀,腹痛,口渴,舌燥,不大便 实热结胸证 饮,胸膈,热,燥屎,胃,肠 大黄,芒硝,甘遂 大陷胸汤
282 Z内科杂病 热证 潮热,头汗出,饥不欲食 阳明热郁证 热,气滞,食积 栀子,香豉 栀子豉汤
283 Z内科杂病 热证 潮热,汗出,谵语,不大便 阳明热结轻证兼正气不足证 热,燥屎,胃,肠,气虚,血虚 大黄,厚朴,枳实 小承气汤
284 Z内科杂病 热证 潮热,谵语,不大便 阳明热结重证 胃,热,燥屎,肠 大黄,厚朴,枳实,芒硝 大承气汤
285 Z内科杂病 热证 恶热,身热,汗出 阳明热盛证 胃,热 知母,石膏,甘草,粳米 白虎汤
286 Z内科杂病 热证 恶热,口干,腹胀,汗出,身重 阳明热郁证 胃,胸膈,热,心神 栀子,香豉 栀子豉汤
287 Z内科杂病 热证 发热,口苦,咽干,目眩 胆热气郁证 半表半里,胸膈,热,脾,胃,气虚,湿 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
288 Z内科杂病 热证 发热,不大便 阳明热结轻证 热,燥屎,胃,肠 大黄,厚朴,枳实 小承气汤
289 Z内科杂病 热证 发热,腹满,谵语 阳明热结重证 热,燥屎,胃,肠,亡阴,心神 大黄,厚朴,枳实,芒硝 大承气汤
290 Z内科杂病 热证 发热,口干,鼻燥,脉浮 阳明气血热证 胃,热,燥,津亏 知母,石膏,甘草,粳米 白虎汤
291 Z内科杂病 热证 发热,口干,腹胀,汗出,身重 阳明热郁证 胃,胸膈,热,湿 栀子,香豉 栀子豉汤
292 Z内科杂病 热证 发热,多汗 阳明热极证 热,燥屎,胃,肠,亡阴 大黄,厚朴,枳实,芒硝 大承气汤
293 Z内科杂病 热证 发热,手足冷,昏昏沉沉 热陷心包证 热,寒,阳郁,心 竹叶,石膏,半夏,麦门冬,人参,炙甘草,粳米 竹叶石膏汤
294 Z内科杂病 热证 发热,面黄,目黄,身黄,小便黄 湿热发黄证 脾,胃,湿,热,气虚 茵陈蒿,栀子,大黄 茵陈蒿汤
295 Z内科杂病 热证 发热,呕吐,泄泻,手足热 阳气暴伤证 胃,肠,亡阳 炙甘草,干姜,附子 四逆汤
296 Z内科杂病 热证 发热,手足冷,心烦 阴盛阳脱证 阳浮,心神 炙甘草,干姜,附子 通脉四逆汤
297 Z内科杂病 热证 发热,泄泻,手足冷 阴盛阳亡证 肠,亡阴,亡阳 炙甘草,干姜,附子 通脉四逆汤
298 Z内科杂病 热证 身热,心烦 热扰胸膈证 热,胸膈,心神 栀子,香豉 栀子豉汤
299 Z内科杂病 热证 身热,汗出 阳明热盛证 胃,热 知母,石膏,甘草,粳米 白虎汤
300 Z内科杂病 热证 身热,腹痛 寒实结胸证 寒,饮,少腹,湿,热,肌肤 桔梗,巴豆,贝母 三物小白散
301 Z内科杂病 热证 身热,口苦,咽干,目眩 少阳胆热气郁证兼太阳病证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
302 Z内科杂病 热证 身热,干呕,脉弱,小便利 少阴阳虚阴盛证 肾,胃,阳虚,阳浮 炙甘草,干姜,附子 四逆汤
303 Z内科杂病 热证 身热,泄泻 少阴阳虚戴阳证 肠,阳虚,阳浮 葱白,干姜,附子 白通汤
304 Z内科杂病 身体沉重 身体沉重,汗出,昏昏沉沉 阳明热盛证 表,热,湿 知母,石膏,甘草,粳米 白虎汤
305 Z内科杂病 身体沉重 身体沉重,心悸,气短 心气虚证 心,气虚,湿 桂枝,炙甘草,芍药,生姜,大枣,胶饴 小建中汤
306 Z内科杂病 身体沉重 身体沉重,口干,发热,汗出,腹胀 阳明热郁证 胃,胸膈,热,湿,心神 栀子,香豉 栀子豉汤
307 Z内科杂病 身体沉重 身体沉重,目眩,四肢屈伸不利 肾浊阴阳易证 毒,湿,肾 妇人中裈近隐处剪烧作灰 烧裈散
308 Z内科杂病 身体活动不能自如 身体活动不能自如,身痛 阳虚肌痹证 表,阳虚 桂枝,炮附子,生姜,大枣,炙甘草 桂枝附子汤
309 Z内科杂病 身体活动不能自如 身体活动不能自如,胸满,心烦,小便不利,谵语,身重 少阳胆证 半表半里,膀胱,热,湿,心神 柴胡,龙骨,黄芩,生姜,铅丹,人参,桂枝,茯苓,半夏,大黄,牡蛎,大枣 柴胡加龙骨牡蛎汤
310 Z内科杂病 身体活动不能自如 身体活动不能自如,腹满,身重 阳明少阳太阳兼证 胃,热,湿 知母,石膏,甘草,粳米 白虎汤
311 Z内科杂病 身痒 身痒,无汗,面红,发热,怕冷 太阳伤寒轻证 外风,寒,热,表,肌肤 桂枝,芍药,生姜,炙甘草,麻黄,大枣,杏仁 桂枝麻黄各半汤
312 Z内科杂病 身痒 身痒,无汗 阳明虚热身痒证 津亏,气虚,热,肌肤 竹叶,石膏,半夏,麦门冬,人参,炙甘草,粳米 竹叶石膏汤
313 Z内科杂病 头痛 头痛,汗出 太阳中风证 外风,寒,表 桂枝,芍药,炙甘草,生姜,大枣 桂枝汤
314 Z内科杂病 头痛 头痛,无汗 太阳伤寒证 外风,寒,表 麻黄,桂枝,炙甘草,杏仁 麻黄汤
315 Z内科杂病 头痛 头痛,发热,怕冷,口渴 太阳温病证 外风,寒,饮,热,表,胸膈,肝,胆,湿 桂枝,芍药,麻黄,炙甘草,大枣,生姜,石膏 桂枝二越婢一汤
316 Z内科杂病 头痛 头痛,发热,脉弦细 少阳胆热证 半表半里,胃,热,燥,津亏 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
317 Z内科杂病 头痛 头痛,小便不利,呕吐 阳明胃热证 胃,膀胱,热,燥,津亏,阳亢,阳虚,气虚 知母,石膏,甘草,粳米 白虎汤
318 Z内科杂病 头痛 头痛,干呕,吐涎沫 肝寒气逆证 肝,寒,胃 吴茱萸,人参,生姜,大枣 吴茱萸汤
319 Z内科杂病 头痛 头痛,手足冷,干呕 阳明寒证 胃,阳虚,饮 人参,干姜,炙甘草,白术 理中丸
320 Z内科杂病 头痛 头痛,心下痞,胁下痛 悬饮证 外风,寒,表,饮,胸膈 芫花,甘遂,大戟,大枣 十枣汤
321 Z内科杂病 头痛 头痛,身痛,发热,口渴 霍乱证 气滞,寒,热,湿 猪苓,泽泻,白术,茯苓,桂枝 五苓散
322 Z内科杂病 头痛 头痛,发热,不大便 太阳病证兼阳明病证 外风,寒,表,热,燥屎,胃,肠 桂枝,芍药,炙甘草,生姜,大枣 桂枝汤
323 Z内科杂病 头痛 头痛,怕冷,泄泻 太阳病证兼肾阳虚证 外风,寒,表,肠,阳虚 桂枝,芍药,炙甘草,生姜,大枣 桂枝汤
324 Z内科杂病 头痛 头痛,身痛,呕吐,泄泻 太阳病证兼霍乱证 外风,寒,表,胃,肠 桂枝,芍药,炙甘草,生姜,大枣 桂枝汤
325 Z内科杂病 头痛 头痛,无汗,小便不利 太阳病证兼水气证 饮,阳郁,胃,膀胱 芍药,炙甘草,生姜,白术,茯苓,大枣 桂枝去桂加茯苓白术汤
326 Z内科杂病 头痛 头痛,发热,胸闷 太阳病证兼少阳病证 外风,寒,表,半表半里 桂枝,黄芩,芍药,人参,炙甘草,半夏,大枣,生姜,柴胡 柴胡桂枝汤
