编号 病种分类 病证名 中医症状 中医证型 状态要素 中药 经方
40 X心系病证 懊侬 心胸懊恼,饥不能食 阳明郁热证 胃,胸膈,热,心神 栀子,香豉 栀子豉汤
41 X心系病证 懊侬 心胸懊恼,大便干,腹胀,心烦 阳明热结证 胸膈,脾,气虚,湿,热,燥屎,胃,肠 大黄,厚朴,枳实,芒硝 大承气汤
42 X心系病证 懊侬 心胸懊恼,身热,心烦,腹冷 上热下寒证 热,胸膈,心,脾,胃,阳虚 栀子,干姜 栀子干姜汤
43 X心系病证 懊侬 心胸懊恼,大便干,小便多 阳明热结轻证 胸膈,津亏,燥,热,心神,膀胱 大黄,厚朴,枳实 小承气汤
44 X心系病证 不寐 失眠,心烦,汗出,发热,不呕,不渴 肾阳虚烦躁证 阳浮,阳虚,肾,心神 干姜,附子 干姜附子汤
45 X心系病证 不寐 失眠,心烦,口渴 胃热津伤证 心神,热,燥,津亏,膀胱,胃 竹叶,石膏,半夏,麦门冬,人参,炙甘草,粳米 竹叶石膏汤
46 X心系病证 不寐 失眠,心烦,起卧不安 热扰胸膈证 心神,热,胸膈,脾,胃,阳虚 栀子,香豉 栀子豉汤
47 X心系病证 不寐 失眠,双目僵硬 阴虚火旺证 阴虚,血虚,心神 黄连,黄芩,芍药,鸡子黄,阿胶 黄连阿胶汤
48 X心系病证 不寐 失眠,心烦,泄泻,咳嗽,干呕,口渴 阴虚水气热证 肾,阴虚,膀胱,心神,湿,热 猪苓,茯苓,泽泻,阿胶,滑石 猪苓汤
49 X心系病证 心烦 心烦,腹胀,身热,起卧不安 热扰胸腹证 热,胸膈,胃,心神 栀子,厚朴,枳实 栀子厚朴汤
50 X心系病证 心烦 心烦,口苦,咽干,胸胁满 胆热气郁证 心神,半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
51 X心系病证 心烦 心烦,头汗出,小便不利,口渴,不呕 胆热水气证 心神,半表半里,胆,阳郁,饮,热 柴胡,桂枝,干姜,瓜蒌根,黄芩,牡蛎,炙甘草 柴胡桂枝干姜汤
52 X心系病证 心烦 心烦,身热,怕冷,口渴 阳明热伤津气证 胃,心神,热,气虚,津亏 知母,石膏,炙甘草,粳米,人参 白虎加人参汤
53 X心系病证 心烦 心烦,不呕,不泄泻 阳明热结缓证 心神,胃,热,气滞 大黄,芒硝,炙甘草 调胃承气汤
