编号 病种分类 病证名 中医症状 中医证型 状态要素
237 Z内科杂病 汗证 盗汗,发热 阳明热极证 热,燥屎,胃,肠,亡阴
238 Z内科杂病 汗证 多汗,脉迟,怕风,怕冷 太阳中风证兼阳明病证 外风,寒,表,胃,热
239 Z内科杂病 汗证 多汗,口干,咽干 阳明热盛津伤证 胃,热,燥,津亏
240 Z内科杂病 汗证 发热,怕冷 太阳中风证 外风,寒,表
241 Z内科杂病 汗证 汗出,项强 太阳柔痉证 外风,寒,表,经络
242 Z内科杂病 汗证 汗出,身重,昏昏沉沉 阳明热盛证 胃,热,湿
243 Z内科杂病 汗证 汗出,谵语,潮热 阳明热结重证 胃,热,燥屎,肠
244 Z内科杂病 汗证 汗出,口干,发热,腹胀,身重 阳明热郁证 胃,胸膈,热,心神
245 Z内科杂病 汗证 汗出,骨节疼痛,心烦,怕风,气短 阳虚骨痹证 阳虚,寒,湿,关节
246 Z内科杂病 汗证 汗出,呕吐,泄泻,脉紧 少阴阳虚寒证 胃,肠,寒,阳浮
247 Z内科杂病 汗证 汗出,手足冷,四肢屈伸不利,呕吐,泄泻 阳虚阴盛证 阳虚,胃,肠
248 Z内科杂病 汗证 手足汗出,大便干,谵语,潮热 阳明热结重证 胃,热,燥屎,肠
249 Z内科杂病 汗证 手足汗出,不欲食,小便不利,大便先干后稀 阳明虚寒痼痕证 胃,肠,阳虚,食积
250 Z内科杂病 汗证 头汗出,谵语,身体枯燥不荣,手足躁扰不宁 气血两燔证 热,毒,阴虚,津亏,心神,肌肤
251 Z内科杂病 汗证 头汗出,腹痛拒按 实热结胸证 饮,热,燥屎,胃,肠,胸膈 
252 Z内科杂病 汗证 头汗出,心烦,小便不利,口渴,不呕 少阳胆热证 半表半里,胆,阳郁,热 
253 Z内科杂病 汗证 头汗出,饥不欲食,心烦,手足热 阳明热郁证 热,胸膈,食积,心神
254 Z内科杂病 汗证 头汗出,身黄,目黄,小便黄 湿热发黄证 热,表,胸膈,肝,胆,湿
255 Z内科杂病 汗证 头汗出,手足冷,腹胀,不欲食,大便硬 太阳病证兼少阳病证 半表半里,少腹,胃,燥屎,食积 
256 Z内科杂病 口疾 口干口燥,脉浮,发热 阳明气血热证 胃,热,燥,津亏
257 Z内科杂病 口疾 口干口燥,谵语,不大便 气血两燔证 热,毒,阴虚,津亏,燥屎
258 Z内科杂病 口疾 口干口燥,口渴饮水不欲咽 阳明血热证 胃,肠,血热,津亏 
259 Z内科杂病 口疾 口干口燥,口渴,心烦 阳明热盛津气两伤证 胃,心神,热,气虚,津亏
260 Z内科杂病 口疾 口渴,口渴饮水不多 厥阴肝热证 热,肝,津亏
261 Z内科杂病 口疾 口渴,身黄,目黄,小便黄 湿热发黄证 胃,热,肝,胆,湿
262 Z内科杂病 口疾 口渴,口渴饮水量多 阳明热盛津伤证 胃,热,气虚,津亏
263 Z内科杂病 口疾 口渴,口渴饮水不多,小便不利,发热,脉浮 热虚水气证 热,阴虚,饮,膀胱
264 Z内科杂病 口疾 口渴,发热,咳嗽,干呕 寒饮郁肺证 表,寒,热,饮,肺,胃
265 Z内科杂病 口疾 口渴,心烦,小便不利 脾胃水气证 饮,膀胱,脾,胃,心神
266 Z内科杂病 口疾 口渴,头汗出,小便不利,心烦,不呕 胆热夹饮证 半表半里,膀胱,心神,热,阳郁,饮
267 Z内科杂病 口疾 口苦,咽干,目眩 少阳胆热证 半表半里,胆,咽,热,气滞
268 Z内科杂病 口疾 口苦,口干,发热,汗出,身重 阳明热郁证 胃,胸膈,热,湿,心神
269 Z内科杂病 口疾 舌燥,腹胀,腹痛,口渴,不大便,潮热 实热结胸证 饮,胸膈,热,燥屎,胃,肠
270 Z内科杂病 口疾 舌燥,发热,口渴,怕风,心烦 阳明热盛津气两伤证 胃,热,气虚,津亏
271 Z内科杂病 面疾 面部红赤,气短 太阳病证兼阳明病证 外风,寒,热,表
272 Z内科杂病 面疾 面部红赤,发热,怕冷 太阳伤寒轻证 外风,寒,热,表
273 Z内科杂病 面疾 面部红赤,发热,面黄,小便不利 阳明热盛证 脾,胃,膀胱,湿,热,气虚 
274 Z内科杂病 面疾 面部红赤,泄泻,腹痛,手足冷,脉微 少阴阳虚格阳证 肠,少腹,阳虚,阳浮
275 Z内科杂病 面疾 面部红赤,泄泻 少阴阳虚戴阳证 肠,阳虚,阳浮
276 Z内科杂病 目疾 目眩,口苦,咽干,心烦 少阳胆热气郁证 半表半里,胆,热,气滞
277 Z内科杂病 目疾 目眩,心烦,发热,无汗 太阳伤寒证 外风,热,心神,表
278 Z内科杂病 目疾 目眩,耳聋,口苦 少阳胆热气郁证 半表半里,胆,热,气滞
279 Z内科杂病 目疾 目眩,身重,四肢屈伸不利 肾中浊邪阴阳易证 毒,湿,肾
280 Z内科杂病 目疾 目眩,大便难,发热 阳明热结重证兼少阴热证 热,燥屎,胃,肠,亡阴
281 Z内科杂病 热证 潮热,腹胀,腹痛,口渴,舌燥,不大便 实热结胸证 饮,胸膈,热,燥屎,胃,肠
282 Z内科杂病 热证 潮热,头汗出,饥不欲食 阳明热郁证 热,气滞,食积
283 Z内科杂病 热证 潮热,汗出,谵语,不大便 阳明热结轻证兼正气不足证 热,燥屎,胃,肠,气虚,血虚
284 Z内科杂病 热证 潮热,谵语,不大便 阳明热结重证 胃,热,燥屎,肠
285 Z内科杂病 热证 恶热,身热,汗出 阳明热盛证 胃,热
286 Z内科杂病 热证 恶热,口干,腹胀,汗出,身重 阳明热郁证 胃,胸膈,热,心神
287 Z内科杂病 热证 发热,口苦,咽干,目眩 胆热气郁证 半表半里,胸膈,热,脾,胃,气虚,湿
288 Z内科杂病 热证 发热,不大便 阳明热结轻证 热,燥屎,胃,肠
289 Z内科杂病 热证 发热,腹满,谵语 阳明热结重证 热,燥屎,胃,肠,亡阴,心神
290 Z内科杂病 热证 发热,口干,鼻燥,脉浮 阳明气血热证 胃,热,燥,津亏
291 Z内科杂病 热证 发热,口干,腹胀,汗出,身重 阳明热郁证 胃,胸膈,热,湿
292 Z内科杂病 热证 发热,多汗 阳明热极证 热,燥屎,胃,肠,亡阴
293 Z内科杂病 热证 发热,手足冷,昏昏沉沉 热陷心包证 热,寒,阳郁,心
294 Z内科杂病 热证 发热,面黄,目黄,身黄,小便黄 湿热发黄证 脾,胃,湿,热,气虚 
295 Z内科杂病 热证 发热,呕吐,泄泻,手足热 阳气暴伤证 胃,肠,亡阳 
296 Z内科杂病 热证 发热,手足冷,心烦 阴盛阳脱证 阳浮,心神 
297 Z内科杂病 热证 发热,泄泻,手足冷 阴盛阳亡证 肠,亡阴,亡阳 
298 Z内科杂病 热证 身热,心烦 热扰胸膈证 热,胸膈,心神 
299 Z内科杂病 热证 身热,汗出 阳明热盛证 胃,热
300 Z内科杂病 热证 身热,腹痛 寒实结胸证 寒,饮,少腹,湿,热,肌肤 
301 Z内科杂病 热证 身热,口苦,咽干,目眩 少阳胆热气郁证兼太阳病证 半表半里,胆,热,气滞
302 Z内科杂病 热证 身热,干呕,脉弱,小便利 少阴阳虚阴盛证 肾,胃,阳虚,阳浮 
303 Z内科杂病 热证 身热,泄泻 少阴阳虚戴阳证 肠,阳虚,阳浮
304 Z内科杂病 身体沉重 身体沉重,汗出,昏昏沉沉 阳明热盛证 表,热,湿 
305 Z内科杂病 身体沉重 身体沉重,心悸,气短 心气虚证 心,气虚,湿 
306 Z内科杂病 身体沉重 身体沉重,口干,发热,汗出,腹胀 阳明热郁证 胃,胸膈,热,湿,心神
307 Z内科杂病 身体沉重 身体沉重,目眩,四肢屈伸不利 肾浊阴阳易证 毒,湿,肾 
308 Z内科杂病 身体活动不能自如 身体活动不能自如,身痛 阳虚肌痹证 表,阳虚 
309 Z内科杂病 身体活动不能自如 身体活动不能自如,胸满,心烦,小便不利,谵语,身重 少阳胆证 半表半里,膀胱,热,湿
310 Z内科杂病 身体活动不能自如 身体活动不能自如,腹满,身重 阳明少阳太阳兼证 胃,热,湿
311 Z内科杂病 身痒 身痒,无汗,面红,发热,怕冷 太阳伤寒轻证 外风,寒,热,表,肌肤 
312 Z内科杂病 身痒 身痒,无汗 阳明虚热身痒证 津亏,气虚,热,肌肤 
313 Z内科杂病 头痛 头痛,汗出 太阳中风证 外风,寒,表 
314 Z内科杂病 头痛 头痛,无汗 太阳伤寒证 外风,寒,表 
315 Z内科杂病 头痛 头痛,发热,怕冷,口渴 太阳温病证 外风,寒,饮,热,表,胸膈,肝,胆,湿
316 Z内科杂病 头痛 头痛,发热,脉弦细 少阳胆热证 半表半里,胃,热,燥,津亏 
317 Z内科杂病 头痛 头痛,小便不利,呕吐 阳明胃热证 胃,膀胱,热,燥,津亏,阳亢,阳虚,气虚 
318 Z内科杂病 头痛 头痛,干呕,吐涎沫 肝寒气逆证 肝,寒,胃 
319 Z内科杂病 头痛 头痛,手足冷,干呕 阳明寒证 胃,阳虚,饮
320 Z内科杂病 头痛 头痛,心下痞,胁下痛 悬饮证 外风,寒,表,饮,胸膈 
321 Z内科杂病 头痛 头痛,身痛,发热,口渴 霍乱证 气滞,寒,热,湿 
322 Z内科杂病 头痛 头痛,发热,不大便 太阳病证兼阳明病证 外风,寒,表,热,燥屎,胃,肠 
323 Z内科杂病 头痛 头痛,怕冷,泄泻 太阳病证兼肾阳虚证 外风,寒,表,肠,阳虚 
324 Z内科杂病 头痛 头痛,身痛,呕吐,泄泻 太阳病证兼霍乱证 外风,寒,表,胃,肠 
325 Z内科杂病 头痛 头痛,无汗,小便不利 太阳病证兼水气证 饮,阳郁,胃,膀胱 
326 Z内科杂病 头痛 头痛,发热,胸闷 太阳病证兼少阳病证 外风,寒,表,半表半里 
327 Z内科杂病 头痛 头痛,发热,无汗,脉沉 少阴阳虚兼表证 热,外风,寒,表 
328 Z内科杂病 虚劳 气短,脉浮 太阳病证 外风,寒,表,肺 
329 Z内科杂病 虚劳 气短,胸痛,腹痛,心烦,心胸懊恼 实热结胸证 外风,寒,饮,热,表,胸膈,肺,心神,湿 
330 Z内科杂病 虚劳 气短,胁下痛,干呕 悬饮证 外风,寒,表,饮,胸膈,胃,肺 
331 Z内科杂病 虚劳 气短,骨节疼痛,心烦,汗出 阳虚骨痹证 外风,寒,湿,关节,肺,心神 
332 Z内科杂病 虚劳 少气,心胸懊恼,起卧不安,身热 热扰胸膈证 热,胸膈,心神,阳虚,肺 
333 Z内科杂病 虚劳 少气,目眩,身重,四肢屈伸不利 肾中浊邪阴阳易证 毒,湿,肾,肺 
334 Z内科杂病 眩晕 头晕目眩,有气上冲心胸,腹胀,脉沉紧,身体颤动 气虚水气证 脾,阳虚,饮,气逆 
335 Z内科杂病 眩晕 头晕目眩,心悸,发热,头晕,目眩,身体颤动 阳虚水泛证 肾,阳虚,饮,寒 
336 Z内科杂病 眩晕 头晕目眩,泄泻,昏昏沉沉 阴竭阳脱证 心,肾,肠,亡阴,亡阳 
337 Z内科杂病 眩晕 头晕目眩,泄泻 阳虚戴阳证 肾,肠,阳虚,阳浮 
338 Z内科杂病 眩晕 头晕目眩,骨节疼痛,大便干硬,心烦,不呕,不渴 阳虚肌痹证 外风,寒,湿,燥屎,心神,关节 
339 Z内科杂病 血证 便脓血,发热,泄泻 阳明血利证 热,毒,肠 
340 Z内科杂病 血证 便脓血,腹痛,小便不利,泄泻 阳虚滑脱证 脾,肾,膀胱,肠,阳虚,气虚,动血 
341 Z内科杂病 血证 便脓血,胸胁满,手足冷,呕吐,心烦,不欲食 肝热厥逆证 热,寒,胃,心神,食积,阳郁 
342 Z内科杂病 血证 便脓血,身热,小便不利 膀胱病证 热,膀胱,经络 
343 Z内科杂病 血证 便脓血,咽喉疼痛 阳化为热证 热,毒,咽 
344 Z内科杂病 郁证 烦躁,失眠,汗出,发热,不呕,不渴 肾阳虚烦躁证 阳浮,心神 
345 Z内科杂病 郁证 烦躁,脉弱 肾阴阳俱虚证 阴虚,阳虚,心神 
346 Z内科杂病 郁证 烦躁,口渴 胃热津伤证 饮,热,燥,津亏,膀胱,胃,心神 
347 Z内科杂病 郁证 烦躁,心悸 心阳虚烦躁证 心神,阳虚 
348 Z内科杂病 郁证 烦躁,腹痛 阳明热结重证 热,燥屎,胃,肠,心神
349 Z内科杂病 郁证 烦躁,胸胁满,呕吐,不欲食 肝热厥逆证 半表半里,胆,热,气滞,心神
350 Z内科杂病 郁证 烦躁,口干,腹胀,汗出,身重 阳明热郁证 胃,胸膈,热,湿,心神
351 Z内科杂病 郁证 烦躁,脉微,手足冷 阴盛阳绝证 阳浮,心神
352 Z内科杂病 谵语 谵语,四肢冷,大便干,脉弱 阳明热结缓证 胃,热,燥屎,寒,心神
353 Z内科杂病 谵语 谵语,心烦,小便不利,胸满,身重 少阴心热证 半表半里,膀胱,湿,热
354 Z内科杂病 谵语 谵语,小便不利,呕吐 阳明胃热证 胃,膀胱,热,燥,津亏,阳亢,阳虚,气虚,心神
355 Z内科杂病 谵语 谵语,不大便,身体枯燥不荣,手足躁扰不宁 气血两燔证 热,毒,阴虚,津亏,燥屎,心神,肌肤
356 Z内科杂病 谵语 谵语,腹满,发热 阳明热结重证 热,燥屎,胃,肠,亡阴,心神
357 Z内科杂病 谵语 谵语,潮热,汗出,大便干 阳明热结轻证 热,燥屎,胃,肠,心神
358 Z内科杂病 谵语 谵语,口干,腹胀,汗出,身重 阳明热郁证 胃,胸膈,热,湿,心神
