model,display_name,seed,sample_jaccard,sample_precision,sample_recall,sample_f1,exact_match,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,supported_macro_precision,supported_macro_recall,supported_macro_f1,zero_f1_count,zero_f1_rate,hit_rate,empty_prediction_rate,avg_selected_count,avg_true_count,avg_cardinality_error,avg_over_select,avg_under_select,false_selection_rate,miss_selection_rate,premature_stop_rate,late_stop_rate,best_k,best_threshold,best_c,elapsed_seconds,effective_k,best_smoothing,best_epoch
frequency,Label Frequency,9,0.3204464430400259,0.32245989304812833,0.9732620320855615,0.4765180229752423,0.0,0.32245989304812833,0.9717969379532635,0.4842401124272235,0.17914438502673796,0.5555555555555556,0.24361871411624497,0.17914438502673796,0.5555555555555556,0.24361871411624497,8,0.4444444444444444,1.0,0.0,10.0,3.3181818181818183,6.681818181818182,6.681818181818182,0.0,0.6775401069518716,0.026737967914438502,0.0,1.0,10,,,,,,
frequency,Label Frequency,17,0.3204464430400259,0.32245989304812833,0.9732620320855615,0.4765180229752423,0.0,0.32245989304812833,0.9717969379532635,0.4842401124272235,0.17914438502673796,0.5555555555555556,0.24361871411624497,0.17914438502673796,0.5555555555555556,0.24361871411624497,8,0.4444444444444444,1.0,0.0,10.0,3.3181818181818183,6.681818181818182,6.681818181818182,0.0,0.6775401069518716,0.026737967914438502,0.0,1.0,10,,,,,,
frequency,Label Frequency,29,0.3204464430400259,0.32245989304812833,0.9732620320855615,0.4765180229752423,0.0,0.32245989304812833,0.9717969379532635,0.4842401124272235,0.17914438502673796,0.5555555555555556,0.24361871411624497,0.17914438502673796,0.5555555555555556,0.24361871411624497,8,0.4444444444444444,1.0,0.0,10.0,3.3181818181818183,6.681818181818182,6.681818181818182,0.0,0.6775401069518716,0.026737967914438502,0.0,1.0,10,,,,,,
br_svm,BR + Linear SVM,9,0.6779570919276802,0.7810287751464222,0.8319964349376113,0.7823604648470958,0.25133689839572193,0.755223880597015,0.8154713940370669,0.7841921735761334,0.46359854444514803,0.4833972206887745,0.4680221631107202,0.46359854444514803,0.4833972206887745,0.4680221631107202,4,0.2222222222222222,0.9946524064171123,0.0,3.5828877005347595,3.3181818181818183,0.8529411764705882,0.5588235294117647,0.29411764705882354,0.21897122485357776,0.1680035650623886,0.2192513368983957,0.35561497326203206,,0.46,1.0,1.2579451999918092,,,
br_svm,BR + Linear SVM,17,0.6779570919276802,0.7810287751464222,0.8319964349376113,0.7823604648470958,0.25133689839572193,0.755223880597015,0.8154713940370669,0.7841921735761334,0.46359854444514803,0.4833972206887745,0.4680221631107202,0.46359854444514803,0.4833972206887745,0.4680221631107202,4,0.2222222222222222,0.9946524064171123,0.0,3.5828877005347595,3.3181818181818183,0.8529411764705882,0.5588235294117647,0.29411764705882354,0.21897122485357776,0.1680035650623886,0.2192513368983957,0.35561497326203206,,0.46,1.0,1.2400716999836732,,,
br_svm,BR + Linear SVM,29,0.6779570919276802,0.7810287751464222,0.8319964349376113,0.7823604648470958,0.25133689839572193,0.755223880597015,0.8154713940370669,0.7841921735761334,0.46359854444514803,0.4833972206887745,0.4680221631107202,0.46359854444514803,0.4833972206887745,0.4680221631107202,4,0.2222222222222222,0.9946524064171123,0.0,3.5828877005347595,3.3181818181818183,0.8529411764705882,0.5588235294117647,0.29411764705882354,0.21897122485357776,0.1680035650623886,0.2192513368983957,0.35561497326203206,,0.46,1.0,1.2490343999816105,,,
mlknn,ML-kNN,9,0.5606538069773364,0.6062070282658518,0.8715686274509805,0.6977149707096231,0.05614973262032086,0.5923672566371682,0.863013698630137,0.7025254181698918,0.31960654985532055,0.4761274114917259,0.3767141068545967,0.31960654985532055,0.4761274114917259,0.3767141068545967,5,0.2777777777777778,1.0,0.0,4.834224598930481,3.3181818181818183,1.5962566844919786,1.5561497326203209,0.040106951871657755,0.39379297173414823,0.12843137254901962,0.0374331550802139,0.7914438502673797,5,0.14,,0.6689725000178441,5,1.0,
mlknn,ML-kNN,17,0.5606538069773364,0.6062070282658518,0.8715686274509805,0.6977149707096231,0.05614973262032086,0.5923672566371682,0.863013698630137,0.7025254181698918,0.31960654985532055,0.4761274114917259,0.3767141068545967,0.31960654985532055,0.4761274114917259,0.3767141068545967,5,0.2777777777777778,1.0,0.0,4.834224598930481,3.3181818181818183,1.5962566844919786,1.5561497326203209,0.040106951871657755,0.39379297173414823,0.12843137254901962,0.0374331550802139,0.7914438502673797,5,0.14,,0.660339499998372,5,1.0,
mlknn,ML-kNN,29,0.5606538069773364,0.6062070282658518,0.8715686274509805,0.6977149707096231,0.05614973262032086,0.5923672566371682,0.863013698630137,0.7025254181698918,0.31960654985532055,0.4761274114917259,0.3767141068545967,0.31960654985532055,0.4761274114917259,0.3767141068545967,5,0.2777777777777778,1.0,0.0,4.834224598930481,3.3181818181818183,1.5962566844919786,1.5561497326203209,0.040106951871657755,0.39379297173414823,0.12843137254901962,0.0374331550802139,0.7914438502673797,5,0.14,,0.6727213000121992,5,1.0,
mlp_bce,MLP + BCE,9,0.6807168321874204,0.7690730837789661,0.8559269162210339,0.7868727380759466,0.21657754010695188,0.744136460554371,0.8436744560838034,0.790785498489426,0.4823107912706205,0.4486314742490047,0.4398882194951625,0.4823107912706205,0.4486314742490047,0.4398882194951625,5,0.2777777777777778,0.9973262032085561,0.0,3.7620320855614975,3.3181818181818183,0.946524064171123,0.6951871657754011,0.25133689839572193,0.2309269162210339,0.14407308377896613,0.20855614973262032,0.4679144385026738,,0.12,,23.094097399996826,,,85
