model,display_name,seed_count,sample_jaccard_mean,sample_jaccard_std,sample_precision_mean,sample_precision_std,sample_recall_mean,sample_recall_std,sample_f1_mean,sample_f1_std,exact_match_mean,exact_match_std,micro_precision_mean,micro_precision_std,micro_recall_mean,micro_recall_std,micro_f1_mean,micro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,supported_macro_precision_mean,supported_macro_precision_std,supported_macro_recall_mean,supported_macro_recall_std,supported_macro_f1_mean,supported_macro_f1_std,zero_f1_count_mean,zero_f1_count_std,zero_f1_rate_mean,zero_f1_rate_std,hit_rate_mean,hit_rate_std,empty_prediction_rate_mean,empty_prediction_rate_std,avg_selected_count_mean,avg_selected_count_std,avg_true_count_mean,avg_true_count_std,avg_cardinality_error_mean,avg_cardinality_error_std,avg_over_select_mean,avg_over_select_std,avg_under_select_mean,avg_under_select_std,false_selection_rate_mean,false_selection_rate_std,miss_selection_rate_mean,miss_selection_rate_std,premature_stop_rate_mean,premature_stop_rate_std,late_stop_rate_mean,late_stop_rate_std
frequency,Label Frequency,3,0.3204464430400259,0.0,0.32245989304812833,0.0,0.9732620320855615,0.0,0.4765180229752423,0.0,0.0,0.0,0.32245989304812833,0.0,0.9717969379532635,0.0,0.4842401124272235,0.0,0.17914438502673793,2.7755575615628914e-17,0.5555555555555556,0.0,0.243618714116245,2.7755575615628914e-17,0.17914438502673793,2.7755575615628914e-17,0.5555555555555556,0.0,0.243618714116245,2.7755575615628914e-17,8.0,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,10.0,0.0,3.3181818181818183,0.0,6.6818181818181825,8.881784197001252e-16,6.6818181818181825,8.881784197001252e-16,0.0,0.0,0.6775401069518715,1.1102230246251565e-16,0.026737967914438502,0.0,0.0,0.0,1.0,0.0
br_svm,BR + Linear SVM,3,0.6779570919276802,0.0,0.7810287751464222,0.0,0.8319964349376113,0.0,0.7823604648470958,0.0,0.25133689839572193,0.0,0.755223880597015,0.0,0.8154713940370669,0.0,0.7841921735761334,0.0,0.46359854444514803,0.0,0.4833972206887745,0.0,0.4680221631107202,0.0,0.46359854444514803,0.0,0.4833972206887745,0.0,0.4680221631107202,0.0,4.0,0.0,0.2222222222222222,0.0,0.9946524064171123,0.0,0.0,0.0,3.58288770053476,4.440892098500626e-16,3.3181818181818183,0.0,0.8529411764705882,0.0,0.5588235294117647,0.0,0.29411764705882354,0.0,0.21897122485357776,0.0,0.1680035650623886,0.0,0.2192513368983957,0.0,0.3556149732620321,5.551115123125783e-17
mlknn,ML-kNN,3,0.5606538069773364,0.0,0.6062070282658518,0.0,0.8715686274509805,0.0,0.697714970709623,1.1102230246251565e-16,0.05614973262032086,0.0,0.5923672566371682,0.0,0.863013698630137,0.0,0.7025254181698918,0.0,0.31960654985532055,0.0,0.4761274114917258,5.551115123125783e-17,0.3767141068545967,0.0,0.31960654985532055,0.0,0.4761274114917258,5.551115123125783e-17,0.3767141068545967,0.0,5.0,0.0,0.2777777777777778,0.0,1.0,0.0,0.0,0.0,4.834224598930481,0.0,3.3181818181818183,0.0,1.5962566844919788,2.220446049250313e-16,1.5561497326203206,2.220446049250313e-16,0.040106951871657755,0.0,0.39379297173414823,0.0,0.12843137254901962,0.0,0.0374331550802139,0.0,0.7914438502673797,0.0
mlp_bce,MLP + BCE,3,0.6691387143258801,0.02454377037123446,0.7401926776926778,0.05310937739791178,0.8756833036244801,0.0326814737831329,0.7785966439395192,0.017562129620287633,0.19518716577540107,0.0380644500963683,0.7162629147706999,0.056373396340494666,0.8646253021756648,0.035479687834452565,0.7806793519834523,0.02102669542473036,0.42299501572134934,0.04508828843396869,0.48690071314593864,0.07762125611405048,0.431804958923798,0.018722180458130688,0.42299501572134934,0.04508828843396869,0.48690071314593864,0.07762125611405048,0.431804958923798,0.018722180458130688,5.0,0.816496580927726,0.2777777777777778,0.045360921162651446,0.9955436720142602,0.0025208797903263826,0.0,0.0,4.045454545454546,0.5083637086669248,3.3181818181818183,0.0,1.1105169340463459,0.2965089414702081,0.9188948306595366,0.4024357794425174,0.19162210338680927,0.10592945650375057,0.25980732230732234,0.05310937739791181,0.12431669637551991,0.032681473783132936,0.1568627450980392,0.08470306146535987,0.5418894830659536,0.15021461341200307
mlp_cb,MLP + CB-BCE,3,0.6821916645446057,0.014834372034818182,0.7546695951107716,0.030571178346835308,0.873544266191325,0.022565228396769346,0.7881423636771231,0.010338459403916369,0.21212121212121213,0.03181206470155926,0.7307671331040688,0.03316180275312459,0.8624764974482945,0.025838762576022013,0.7901062848893323,0.011350384490227194,0.4228358140932978,0.04851088392799765,0.48521540432753474,0.08287591046708624,0.4417514034576122,0.05284208553768798,0.4228358140932978,0.04851088392799765,0.48521540432753474,0.08287591046708624,0.4417514034576122,0.05284208553768798,5.0,2.160246899469287,0.27777777777777773,0.1200137166371826,0.9946524064171123,0.0,0.0,0.0,3.929590017825312,0.29831978963900735,3.3181818181818183,0.0,1.0089126559714796,0.1699538567016014,0.8101604278074866,0.23298371435497742,0.19875222816399285,0.06825023072754598,0.24533040488922842,0.030571178346835322,0.126455733808675,0.02256522839676926,0.1657754010695187,0.05147782202564581,0.5133689839572192,0.09672593089218372
set_transformer,Set Transformer,3,0.6738867539669678,0.008929749039468115,0.7756363932166072,0.03708302482860006,0.8354723707664884,0.030654030409694527,0.7809386840135503,0.007164092881328589,0.22281639928698752,0.016674052525730575,0.7501348402529877,0.03954490121104674,0.823529411764706,0.0328506319268969,0.7834382504464132,0.00808759949514281,0.4791843138634979,0.059845003758820174,0.5083296674806511,0.02721533977849954,0.47630231263371575,0.021721844853425362,0.4791843138634979,0.059845003758820174,0.5083296674806511,0.02721533977849954,0.47630231263371575,0.021721844853425362,3.0,0.0,0.16666666666666666,0.0,0.9937611408199644,0.0012604398951631913,0.0,0.0,3.6613190730837792,0.3506742227256042,3.3181818181818183,0.0,0.9153297682709448,0.1534012832367213,0.6292335115864528,0.2505043035545908,0.286096256684492,0.10246841460698593,0.22436360678339287,0.0370830248286001,0.1645276292335116,0.030654030409694513,0.22816399286987524,0.0876073733845503,0.40641711229946526,0.11758627501227815
